Image Name,Source,D(0),D(1),D(2),Delta01,Delta02,|D(0)|,|D(1)|,|D(2)|,|Delta01|,|Delta02|
r16509308t.png,dalle3,1.3154,1.6521,3.4993,-0.3367,-2.1840,1.3154,1.6521,3.4993,0.3367,2.1840
r16654024t.png,dalle3,2.6182,2.5408,4.1448,0.0774,-1.5266,2.6182,2.5408,4.1448,0.0774,1.5266
r17217693t.png,dalle3,1.3856,1.5968,3.0074,-0.2111,-1.6218,1.3856,1.5968,3.0074,0.2111,1.6218
r18791531t.png,dalle3,0.3338,0.6630,1.8464,-0.3292,-1.5126,0.3338,0.6630,1.8464,0.3292,1.5126
r18798194t.png,dalle3,0.8961,1.4118,2.7758,-0.5157,-1.8796,0.8961,1.4118,2.7758,0.5157,1.8796
r18990432t.png,dalle3,1.1613,2.1066,2.3264,-0.9452,-1.1651,1.1613,2.1066,2.3264,0.9452,1.1651
r19183258t.png,dalle3,0.5819,1.7896,2.5255,-1.2077,-1.9435,0.5819,1.7896,2.5255,1.2077,1.9435
r10893508t.png,firefly,1.3137,1.5188,3.7969,-0.2052,-2.4832,1.3137,1.5188,3.7969,0.2052,2.4832
r10940798t.png,firefly,-0.6337,0.2171,1.2014,-0.8508,-1.8351,0.6337,0.2171,1.2014,0.8508,1.8351
r11850456t.png,firefly,1.0990,1.5795,2.4649,-0.4805,-1.3660,1.0990,1.5795,2.4649,0.4805,1.3660
r12133015t.png,firefly,0.5715,1.9442,1.5299,-1.3727,-0.9585,0.5715,1.9442,1.5299,1.3727,0.9585
r12946364t.png,firefly,0.9517,1.4512,2.6193,-0.4995,-1.6677,0.9517,1.4512,2.6193,0.4995,1.6677
r13073518t.png,firefly,1.1776,1.3048,2.0996,-0.1271,-0.9220,1.1776,1.3048,2.0996,0.1271,0.9220
r13837601t.png,firefly,1.9641,1.9359,3.5473,0.0282,-1.5832,1.9641,1.9359,3.5473,0.0282,1.5832
r13907965t.png,firefly,0.8938,1.7520,2.3428,-0.8583,-1.4490,0.8938,1.7520,2.3428,0.8583,1.4490
r13928401t.png,firefly,0.0804,1.3466,1.5778,-1.2662,-1.4974,0.0804,1.3466,1.5778,1.2662,1.4974
r14289905t.png,firefly,1.0725,1.1142,3.2106,-0.0417,-2.1381,1.0725,1.1142,3.2106,0.0417,2.1381
r15885978t.png,firefly,0.8651,1.5502,2.0847,-0.6850,-1.2196,0.8651,1.5502,2.0847,0.6850,1.2196
r15919202t.png,firefly,1.1397,1.8593,2.6368,-0.7196,-1.4971,1.1397,1.8593,2.6368,0.7196,1.4971
r16422663t.png,firefly,0.8834,1.5254,2.3218,-0.6419,-1.4384,0.8834,1.5254,2.3218,0.6419,1.4384
r16509308t.png,firefly,0.9260,1.8437,2.6699,-0.9177,-1.7439,0.9260,1.8437,2.6699,0.9177,1.7439
r16654024t.png,firefly,4.0303,3.6281,4.3708,0.4022,-0.3405,4.0303,3.6281,4.3708,0.4022,0.3405
r17217693t.png,firefly,1.5756,2.3997,2.2864,-0.8241,-0.7109,1.5756,2.3997,2.2864,0.8241,0.7109
r18791531t.png,firefly,-0.5640,0.3579,1.3640,-0.9219,-1.9280,0.5640,0.3579,1.3640,0.9219,1.9280
r18798194t.png,firefly,-0.6592,0.3426,0.7188,-1.0018,-1.3781,0.6592,0.3426,0.7188,1.0018,1.3781
r18990432t.png,firefly,1.4411,1.7521,2.4447,-0.3110,-1.0035,1.4411,1.7521,2.4447,0.3110,1.0035
r19183258t.png,firefly,1.0688,2.4126,1.5260,-1.3438,-0.4572,1.0688,2.4126,1.5260,1.3438,0.4572
r10893508t.png,glide,1.1959,1.4084,3.2081,-0.2125,-2.0122,1.1959,1.4084,3.2081,0.2125,2.0122
r10940798t.png,glide,1.5879,2.5083,2.7977,-0.9204,-1.2098,1.5879,2.5083,2.7977,0.9204,1.2098
r11850456t.png,glide,1.9990,2.7282,2.6597,-0.7292,-0.6608,1.9990,2.7282,2.6597,0.7292,0.6608
r12133015t.png,glide,2.5628,1.7188,2.2932,0.8439,0.2696,2.5628,1.7188,2.2932,0.8439,0.2696
r12946364t.png,glide,8.3647,4.0275,14.7102,4.3373,-6.3455,8.3647,4.0275,14.7102,4.3373,6.3455
r13073518t.png,glide,0.9539,1.1438,2.4620,-0.1899,-1.5081,0.9539,1.1438,2.4620,0.1899,1.5081
r13837601t.png,glide,0.7699,1.6376,2.5180,-0.8678,-1.7481,0.7699,1.6376,2.5180,0.8678,1.7481
r13907965t.png,glide,1.3570,2.2324,3.2692,-0.8754,-1.9123,1.3570,2.2324,3.2692,0.8754,1.9123
r13928401t.png,glide,0.2793,0.6096,1.5811,-0.3303,-1.3018,0.2793,0.6096,1.5811,0.3303,1.3018
r14289905t.png,glide,5.5177,5.7337,2.9873,-0.2160,2.5304,5.5177,5.7337,2.9873,0.2160,2.5304
r15885978t.png,glide,0.1715,0.6903,1.2000,-0.5188,-1.0286,0.1715,0.6903,1.2000,0.5188,1.0286
r15919202t.png,glide,8.6986,3.9505,8.8262,4.7481,-0.1275,8.6986,3.9505,8.8262,4.7481,0.1275
r16422663t.png,glide,0.9630,1.5865,2.3204,-0.6235,-1.3574,0.9630,1.5865,2.3204,0.6235,1.3574
r16509308t.png,glide,3.4138,3.4017,3.4824,0.0120,-0.0686,3.4138,3.4017,3.4824,0.0120,0.0686
r16654024t.png,glide,14.3159,7.9517,11.0950,6.3642,3.2210,14.3159,7.9517,11.0950,6.3642,3.2210
r17217693t.png,glide,2.1048,2.9645,3.3659,-0.8597,-1.2611,2.1048,2.9645,3.3659,0.8597,1.2611
r18791531t.png,glide,4.2221,2.7848,5.1408,1.4373,-0.9187,4.2221,2.7848,5.1408,1.4373,0.9187
r18798194t.png,glide,1.5077,2.8601,1.5281,-1.3525,-0.0204,1.5077,2.8601,1.5281,1.3525,0.0204
r18990432t.png,glide,1.8222,2.6418,3.0478,-0.8196,-1.2256,1.8222,2.6418,3.0478,0.8196,1.2256
r19183258t.png,glide,6.5189,4.2255,6.5508,2.2935,-0.0319,6.5189,4.2255,6.5508,2.2935,0.0319
r10893508t.png,midjourney-v5,1.7106,1.8330,3.9288,-0.1225,-2.2183,1.7106,1.8330,3.9288,0.1225,2.2183
r10940798t.png,midjourney-v5,1.4790,1.6291,2.8072,-0.1501,-1.3282,1.4790,1.6291,2.8072,0.1501,1.3282
r11850456t.png,midjourney-v5,1.1054,1.4841,1.8932,-0.3787,-0.7878,1.1054,1.4841,1.8932,0.3787,0.7878
r12133015t.png,midjourney-v5,0.3499,1.4307,2.1002,-1.0808,-1.7503,0.3499,1.4307,2.1002,1.0808,1.7503
r12946364t.png,midjourney-v5,1.1875,1.9454,1.9808,-0.7578,-0.7933,1.1875,1.9454,1.9808,0.7578,0.7933
r13073518t.png,midjourney-v5,1.1110,1.5036,2.6178,-0.3925,-1.5068,1.1110,1.5036,2.6178,0.3925,1.5068
r13837601t.png,midjourney-v5,1.4191,1.7624,2.9186,-0.3433,-1.4995,1.4191,1.7624,2.9186,0.3433,1.4995
r13907965t.png,midjourney-v5,0.8612,1.6264,2.5293,-0.7652,-1.6681,0.8612,1.6264,2.5293,0.7652,1.6681
r13928401t.png,midjourney-v5,1.2760,2.2066,2.2998,-0.9307,-1.0239,1.2760,2.2066,2.2998,0.9307,1.0239
r14289905t.png,midjourney-v5,5.0947,4.6196,3.9341,0.4751,1.1606,5.0947,4.6196,3.9341,0.4751,1.1606
r15885978t.png,midjourney-v5,0.3985,1.1782,1.8440,-0.7798,-1.4455,0.3985,1.1782,1.8440,0.7798,1.4455
r15919202t.png,midjourney-v5,1.3357,1.5031,2.9382,-0.1674,-1.6025,1.3357,1.5031,2.9382,0.1674,1.6025
r16422663t.png,midjourney-v5,2.2889,2.3610,3.7749,-0.0722,-1.4860,2.2889,2.3610,3.7749,0.0722,1.4860
r16509308t.png,midjourney-v5,1.2564,2.1705,3.4790,-0.9141,-2.2226,1.2564,2.1705,3.4790,0.9141,2.2226
r16654024t.png,midjourney-v5,6.4064,5.2182,5.5443,1.1883,0.8621,6.4064,5.2182,5.5443,1.1883,0.8621
r17217693t.png,midjourney-v5,1.4606,1.1673,3.2580,0.2932,-1.7975,1.4606,1.1673,3.2580,0.2932,1.7975
r18791531t.png,midjourney-v5,0.6846,1.5374,1.6051,-0.8528,-0.9205,0.6846,1.5374,1.6051,0.8528,0.9205
r18798194t.png,midjourney-v5,0.8840,1.9702,2.3239,-1.0862,-1.4399,0.8840,1.9702,2.3239,1.0862,1.4399
r18990432t.png,midjourney-v5,0.9059,2.0358,2.0634,-1.1299,-1.1575,0.9059,2.0358,2.0634,1.1299,1.1575
r19183258t.png,midjourney-v5,1.5224,2.7834,1.7130,-1.2610,-0.1906,1.5224,2.7834,1.7130,1.2610,0.1906
r10893508t.png,real,1.0088,1.4081,1.9336,-0.3993,-0.9248,1.0088,1.4081,1.9336,0.3993,0.9248
r10940798t.png,real,1.1841,1.9495,2.4777,-0.7654,-1.2936,1.1841,1.9495,2.4777,0.7654,1.2936
r11850456t.png,real,0.9632,2.1910,1.6499,-1.2278,-0.6867,0.9632,2.1910,1.6499,1.2278,0.6867
r12133015t.png,real,0.4734,1.4674,1.0850,-0.9940,-0.6117,0.4734,1.4674,1.0850,0.9940,0.6117
r12946364t.png,real,-0.3325,0.0762,0.9938,-0.4087,-1.3263,0.3325,0.0762,0.9938,0.4087,1.3263
r13073518t.png,real,1.7743,1.5720,3.6723,0.2023,-1.8980,1.7743,1.5720,3.6723,0.2023,1.8980
r13837601t.png,real,0.4495,1.1848,1.7931,-0.7353,-1.3436,0.4495,1.1848,1.7931,0.7353,1.3436
r13907965t.png,real,0.8689,2.8351,1.7324,-1.9663,-0.8635,0.8689,2.8351,1.7324,1.9663,0.8635
r13928401t.png,real,1.1427,2.0486,2.8895,-0.9059,-1.7468,1.1427,2.0486,2.8895,0.9059,1.7468
r14289905t.png,real,3.8835,3.7035,3.3970,0.1800,0.4865,3.8835,3.7035,3.3970,0.1800,0.4865
r15885978t.png,real,0.8571,1.4020,1.9561,-0.5449,-1.0990,0.8571,1.4020,1.9561,0.5449,1.0990
r15919202t.png,real,1.4760,1.8983,3.7251,-0.4223,-2.2492,1.4760,1.8983,3.7251,0.4223,2.2492
r16422663t.png,real,0.1814,0.7552,0.8364,-0.5738,-0.6550,0.1814,0.7552,0.8364,0.5738,0.6550
r16509308t.png,real,1.0409,1.8742,2.2539,-0.8333,-1.2130,1.0409,1.8742,2.2539,0.8333,1.2130
r16654024t.png,real,4.5431,3.7936,4.6428,0.7495,-0.0997,4.5431,3.7936,4.6428,0.7495,0.0997
r17217693t.png,real,1.5538,1.4527,2.8765,0.1011,-1.3227,1.5538,1.4527,2.8765,0.1011,1.3227
r18791531t.png,real,1.6101,2.3669,3.0577,-0.7569,-1.4476,1.6101,2.3669,3.0577,0.7569,1.4476
r18798194t.png,real,1.6212,2.5322,2.7517,-0.9110,-1.1304,1.6212,2.5322,2.7517,0.9110,1.1304
r18990432t.png,real,1.4430,1.5126,2.9604,-0.0696,-1.5174,1.4430,1.5126,2.9604,0.0696,1.5174
r19183258t.png,real,0.9879,3.0453,2.3233,-2.0574,-1.3354,0.9879,3.0453,2.3233,2.0574,1.3354
r10893508t.png,sd-1-3,1.4704,1.6881,3.6644,-0.2177,-2.1940,1.4704,1.6881,3.6644,0.2177,2.1940
r10940798t.png,sd-1-3,2.0520,1.6626,4.6219,0.3894,-2.5699,2.0520,1.6626,4.6219,0.3894,2.5699
r11850456t.png,sd-1-3,1.4807,2.1829,3.4700,-0.7022,-1.9893,1.4807,2.1829,3.4700,0.7022,1.9893
r12133015t.png,sd-1-3,1.3280,2.5974,2.1355,-1.2694,-0.8076,1.3280,2.5974,2.1355,1.2694,0.8076
r12946364t.png,sd-1-3,1.1828,2.4354,3.2310,-1.2525,-2.0481,1.1828,2.4354,3.2310,1.2525,2.0481
r13073518t.png,sd-1-3,1.0738,1.3325,2.9278,-0.2587,-1.8540,1.0738,1.3325,2.9278,0.2587,1.8540
r13837601t.png,sd-1-3,1.3424,1.8562,3.5454,-0.5138,-2.2031,1.3424,1.8562,3.5454,0.5138,2.2031
r13907965t.png,sd-1-3,1.2175,2.4250,3.1622,-1.2075,-1.9447,1.2175,2.4250,3.1622,1.2075,1.9447
r13928401t.png,sd-1-3,0.7420,1.5970,2.6214,-0.8550,-1.8794,0.7420,1.5970,2.6214,0.8550,1.8794
r14289905t.png,sd-1-3,1.9477,1.7323,3.7951,0.2155,-1.8474,1.9477,1.7323,3.7951,0.2155,1.8474
r15885978t.png,sd-1-3,2.0025,1.9278,4.2241,0.0748,-2.2216,2.0025,1.9278,4.2241,0.0748,2.2216
r15919202t.png,sd-1-3,1.5123,2.3339,3.0094,-0.8216,-1.4971,1.5123,2.3339,3.0094,0.8216,1.4971
r16422663t.png,sd-1-3,2.3404,2.1859,5.3037,0.1544,-2.9633,2.3404,2.1859,5.3037,0.1544,2.9633
r16509308t.png,sd-1-3,2.3541,3.1693,3.7153,-0.8152,-1.3612,2.3541,3.1693,3.7153,0.8152,1.3612
r16654024t.png,sd-1-3,4.1723,3.6028,5.0989,0.5695,-0.9266,4.1723,3.6028,5.0989,0.5695,0.9266
r17217693t.png,sd-1-3,2.0586,1.8770,4.5524,0.1816,-2.4938,2.0586,1.8770,4.5524,0.1816,2.4938
r18791531t.png,sd-1-3,1.5483,1.4864,2.9763,0.0620,-1.4279,1.5483,1.4864,2.9763,0.0620,1.4279
r18798194t.png,sd-1-3,0.8589,0.8328,2.8668,0.0261,-2.0080,0.8589,0.8328,2.8668,0.0261,2.0080
r18990432t.png,sd-1-3,1.2946,2.1455,2.8408,-0.8509,-1.5462,1.2946,2.1455,2.8408,0.8509,1.5462
r19183258t.png,sd-1-3,1.3165,2.2434,3.1254,-0.9268,-1.8089,1.3165,2.2434,3.1254,0.9268,1.8089
r10893508t.png,sd-1-4,1.6466,2.1093,3.5268,-0.4627,-1.8802,1.6466,2.1093,3.5268,0.4627,1.8802
r10940798t.png,sd-1-4,1.5024,1.9976,4.1480,-0.4952,-2.6456,1.5024,1.9976,4.1480,0.4952,2.6456
r11850456t.png,sd-1-4,4.0700,2.8893,3.7113,1.1807,0.3587,4.0700,2.8893,3.7113,1.1807,0.3587
r12133015t.png,sd-1-4,0.4370,1.1492,1.5379,-0.7122,-1.1009,0.4370,1.1492,1.5379,0.7122,1.1009
r12946364t.png,sd-1-4,1.1550,1.9966,3.3841,-0.8417,-2.2292,1.1550,1.9966,3.3841,0.8417,2.2292
r13073518t.png,sd-1-4,1.5907,1.9012,3.1795,-0.3105,-1.5888,1.5907,1.9012,3.1795,0.3105,1.5888
r13837601t.png,sd-1-4,1.3768,1.9894,3.2977,-0.6126,-1.9209,1.3768,1.9894,3.2977,0.6126,1.9209
r13907965t.png,sd-1-4,1.2742,1.5108,3.4272,-0.2366,-2.1530,1.2742,1.5108,3.4272,0.2366,2.1530
r13928401t.png,sd-1-4,1.4120,1.3926,3.8851,0.0194,-2.4732,1.4120,1.3926,3.8851,0.0194,2.4732
r14289905t.png,sd-1-4,3.0904,2.9531,4.6891,0.1373,-1.5987,3.0904,2.9531,4.6891,0.1373,1.5987
r15885978t.png,sd-1-4,1.8692,2.0874,3.9719,-0.2181,-2.1027,1.8692,2.0874,3.9719,0.2181,2.1027
r15919202t.png,sd-1-4,1.7514,1.9372,3.4520,-0.1858,-1.7006,1.7514,1.9372,3.4520,0.1858,1.7006
r16422663t.png,sd-1-4,1.4258,1.1562,3.5185,0.2696,-2.0926,1.4258,1.1562,3.5185,0.2696,2.0926
r16509308t.png,sd-1-4,2.4101,2.9574,2.5808,-0.5473,-0.1707,2.4101,2.9574,2.5808,0.5473,0.1707
r16654024t.png,sd-1-4,3.8554,3.7884,6.3104,0.0669,-2.4551,3.8554,3.7884,6.3104,0.0669,2.4551
r17217693t.png,sd-1-4,2.3053,2.5416,3.2766,-0.2363,-0.9713,2.3053,2.5416,3.2766,0.2363,0.9713
r18791531t.png,sd-1-4,1.5959,1.4837,2.9881,0.1122,-1.3922,1.5959,1.4837,2.9881,0.1122,1.3922
r18798194t.png,sd-1-4,0.9491,0.9395,2.7952,0.0096,-1.8461,0.9491,0.9395,2.7952,0.0096,1.8461
r18990432t.png,sd-1-4,1.5202,2.1199,2.8242,-0.5997,-1.3040,1.5202,2.1199,2.8242,0.5997,1.3040
r19183258t.png,sd-1-4,1.2981,2.0992,3.2217,-0.8011,-1.9236,1.2981,2.0992,3.2217,0.8011,1.9236
r10893508t.png,sd-2,1.4118,1.8500,3.6391,-0.4382,-2.2273,1.4118,1.8500,3.6391,0.4382,2.2273
r10940798t.png,sd-2,1.2953,1.7019,2.1388,-0.4066,-0.8435,1.2953,1.7019,2.1388,0.4066,0.8435
r11850456t.png,sd-2,1.3751,1.6669,3.1321,-0.2918,-1.7571,1.3751,1.6669,3.1321,0.2918,1.7571
r12133015t.png,sd-2,0.8562,2.0319,1.6324,-1.1757,-0.7762,0.8562,2.0319,1.6324,1.1757,0.7762
r12946364t.png,sd-2,1.2391,1.7777,3.8122,-0.5386,-2.5731,1.2391,1.7777,3.8122,0.5386,2.5731
r13073518t.png,sd-2,1.4455,1.8823,3.8515,-0.4368,-2.4060,1.4455,1.8823,3.8515,0.4368,2.4060
r13837601t.png,sd-2,1.1748,1.6604,3.4403,-0.4857,-2.2655,1.1748,1.6604,3.4403,0.4857,2.2655
r13907965t.png,sd-2,0.8561,2.1761,2.8535,-1.3200,-1.9974,0.8561,2.1761,2.8535,1.3200,1.9974
r13928401t.png,sd-2,1.3334,2.8321,2.9781,-1.4987,-1.6447,1.3334,2.8321,2.9781,1.4987,1.6447
r14289905t.png,sd-2,-0.1683,0.6553,1.7785,-0.8235,-1.9467,0.1683,0.6553,1.7785,0.8235,1.9467
r15885978t.png,sd-2,0.4888,1.4305,2.0818,-0.9417,-1.5930,0.4888,1.4305,2.0818,0.9417,1.5930
r15919202t.png,sd-2,1.2426,1.8522,2.7972,-0.6095,-1.5545,1.2426,1.8522,2.7972,0.6095,1.5545
r16422663t.png,sd-2,0.3343,1.3647,1.7974,-1.0304,-1.4631,0.3343,1.3647,1.7974,1.0304,1.4631
r16509308t.png,sd-2,0.8541,2.1586,1.9989,-1.3045,-1.1448,0.8541,2.1586,1.9989,1.3045,1.1448
r16654024t.png,sd-2,5.5748,4.7133,7.0585,0.8615,-1.4837,5.5748,4.7133,7.0585,0.8615,1.4837
r17217693t.png,sd-2,1.6137,2.1465,4.3144,-0.5328,-2.7007,1.6137,2.1465,4.3144,0.5328,2.7007
r18791531t.png,sd-2,1.4539,2.9543,2.1588,-1.5004,-0.7049,1.4539,2.9543,2.1588,1.5004,0.7049
r18798194t.png,sd-2,1.6326,2.4529,3.9426,-0.8202,-2.3099,1.6326,2.4529,3.9426,0.8202,2.3099
r18990432t.png,sd-2,0.8852,1.9800,3.1167,-1.0947,-2.2315,0.8852,1.9800,3.1167,1.0947,2.2315
r19183258t.png,sd-2,1.3707,3.1498,2.1525,-1.7790,-0.7818,1.3707,3.1498,2.1525,1.7790,0.7818
r10893508t.png,sd-xl,1.0834,1.1450,3.4781,-0.0617,-2.3947,1.0834,1.1450,3.4781,0.0617,2.3947
r10940798t.png,sd-xl,0.8207,1.3559,2.3957,-0.5352,-1.5750,0.8207,1.3559,2.3957,0.5352,1.5750
r11850456t.png,sd-xl,1.2070,1.7940,2.4428,-0.5871,-1.2358,1.2070,1.7940,2.4428,0.5871,1.2358
r12133015t.png,sd-xl,0.2207,1.1007,1.0663,-0.8801,-0.8456,0.2207,1.1007,1.0663,0.8801,0.8456
r12946364t.png,sd-xl,0.2369,1.1542,2.2173,-0.9174,-1.9804,0.2369,1.1542,2.2173,0.9174,1.9804
r13073518t.png,sd-xl,1.0002,1.7685,3.2159,-0.7683,-2.2157,1.0002,1.7685,3.2159,0.7683,2.2157
r13837601t.png,sd-xl,1.1035,1.4028,3.4479,-0.2992,-2.3444,1.1035,1.4028,3.4479,0.2992,2.3444
r13907965t.png,sd-xl,0.8509,1.4473,2.8291,-0.5964,-1.9782,0.8509,1.4473,2.8291,0.5964,1.9782
r13928401t.png,sd-xl,0.9362,2.4148,2.5805,-1.4786,-1.6444,0.9362,2.4148,2.5805,1.4786,1.6444
r14289905t.png,sd-xl,1.4207,1.3972,3.3101,0.0235,-1.8894,1.4207,1.3972,3.3101,0.0235,1.8894
r15885978t.png,sd-xl,0.6966,1.7739,2.8509,-1.0773,-2.1543,0.6966,1.7739,2.8509,1.0773,2.1543
r15919202t.png,sd-xl,1.4086,1.6352,2.3920,-0.2266,-0.9834,1.4086,1.6352,2.3920,0.2266,0.9834
r16422663t.png,sd-xl,0.9380,1.6572,3.1142,-0.7192,-2.1762,0.9380,1.6572,3.1142,0.7192,2.1762
r16509308t.png,sd-xl,0.8438,1.1761,3.1485,-0.3323,-2.3047,0.8438,1.1761,3.1485,0.3323,2.3047
r16654024t.png,sd-xl,4.3074,3.6634,4.8712,0.6440,-0.5638,4.3074,3.6634,4.8712,0.6440,0.5638
r17217693t.png,sd-xl,1.4953,2.1496,3.2581,-0.6544,-1.7629,1.4953,2.1496,3.2581,0.6544,1.7629
r18791531t.png,sd-xl,0.8470,1.5680,2.1493,-0.7210,-1.3023,0.8470,1.5680,2.1493,0.7210,1.3023
r18798194t.png,sd-xl,0.9843,1.5829,3.2775,-0.5986,-2.2933,0.9843,1.5829,3.2775,0.5986,2.2933
r18990432t.png,sd-xl,1.0427,1.9965,2.8993,-0.9538,-1.8566,1.0427,1.9965,2.8993,0.9538,1.8566
r19183258t.png,sd-xl,0.6350,1.3535,2.6301,-0.7186,-1.9951,0.6350,1.3535,2.6301,0.7186,1.9951
